アニメシリーズID,メディア,タイトル,よみがな,開始年月日,終了年月日,放送局／劇場／販売元,原作,uri
ANS000022700,個人制作,展覧会の絵,テンランカイノエ,1966,-,NULL,NULL,http://mediaarts-db.jp/an/anime_series/357
ANS000022800,TV,悟空の大冒険,ゴクウノダイボウケン,1967/01/07,1967/09/30,フジテレビ,原作/手塚治虫,http://mediaarts-db.jp/an/anime_series/359
ANS000023000,劇場,少年ジャックと魔法使い,ショウネンジャックトマホウツカイ,1967/03/19,-,東映,NULL,http://mediaarts-db.jp/an/anime_series/363
ANS000022900,劇場,サイボーグ009 怪獣戦争,サイボーグゼロゼロナイン カイジュウセンソウ,1967/03/19,-,東映,原作／石森章太郎,http://mediaarts-db.jp/an/anime_series/361
ANS000023100,TV,黄金バット,オウゴンバット,1967/04/01,1968/03/23,よみうりテレビ,原作/永松健夫 雑誌連載/少年画報 雑誌連載/週刊少年キング,http://mediaarts-db.jp/an/anime_series/365
ANS000023200,TV,かみなり坊やピッカリ・ビー,カミナリボウヤピッカリ・ビー,1967/04/01,1968/03/30,毎日放送,原作/ムロタニツネ象 連載/毎日小学生新聞、ぼくら、たのしい幼稚園,http://mediaarts-db.jp/an/anime_series/367
ANS000023300,TV,パーマン,パーマン,1967/04/02,1968/04/14,TBS,原作/藤子不二雄,http://mediaarts-db.jp/an/anime_series/369
ANS000023500,TV,リボンの騎士,リボンノキシ,1967/04/02,1968/04/07,フジテレビ,原作/手塚治虫,http://mediaarts-db.jp/an/anime_series/373
ANS000023400,TV,マッハGoGoGo,マッハゴーゴーゴー,1967/04/02,1968/03/31,フジテレビ,原作/吉田竜夫,http://mediaarts-db.jp/an/anime_series/371
ANS000023600,TV,冒険ガボテン島,ボウケンガボテンジマ,1967/04/04,1967/12/26,TBS,原案/豊田有恒■原画/久松文雄 少年サンデー連載,http://mediaarts-db.jp/an/anime_series/375
ANS000023800,TV,001/7親指トム,ゼロゼロナナブンノイチオヤユビトム,1967/04/05,1967/10/04,NET,旗野義文,http://mediaarts-db.jp/an/anime_series/379
ANS000023700,TV,キングコング,キングコング,1967/04/05,1967/10/04,NET,旗野義文,http://mediaarts-db.jp/an/anime_series/377
ANS000024600,TV,冒険少年 シャダー,ボウケンショウネン　シャダー,1967/09/18,1968/03/16,日本テレビ,原作/岡本光輝,http://mediaarts-db.jp/an/anime_series/385
ANS000024400,TV,ドンキッコ,ドンキッコ,1967/09/07,1968/01/25,フジテレビ,原作/石森章太郎 「少年ブック」連載,http://mediaarts-db.jp/an/anime_series/383
ANS000024300,TV,ピュンピュン丸,ピュンピュンマル,1967/07/03,1970/03/30,NET,原作/つのだじろう （少年キング連載）,http://mediaarts-db.jp/an/anime_series/381
ANS000024800,TV,スカイヤーズ5,スカイヤーズファイヴ,1967/10/04,1967/12/27,TBS,原作/真田喬次郎■原画/川崎のぼる,http://mediaarts-db.jp/an/anime_series/389
ANS000024700,TV,ちびっこ怪獣 ヤダモン,チビッコカイジュウヤダモン,1967/10/02,1968/03/25,フジテレビ,原案（原作）/うしおそうじ 連載/ぼくら・なかよし・たのしい幼稚園（講談社）,http://mediaarts-db.jp/an/anime_series/387
ANS000025000,TV,すばらしい世界旅行 アラスカの旅 “第五氷河期”,スバラシイセカイリョコウ　アラスカノタビ“ダイゴヒョウガキ”,1967/01/29,1967/02/05,日本テレビ,NULL,http://mediaarts-db.jp/an/anime_series/393
ANS000024900,TV,おらあグズラだど,オラァグズラダド,1967/10/07,1968/09/25,フジテレビ,原作/笹川ひろし,http://mediaarts-db.jp/an/anime_series/391
ANS000025100,TV,コメットさん,コメットサン,1967/07/03,1968/12/30,TBS,原画（キャラクターデザインと同義）/横山光輝 「マーガレット」連載,http://mediaarts-db.jp/an/anime_series/395
ANS000025300,劇場,一寸法師,イッスンボウシ,1967/03/25,-,日活,-,http://mediaarts-db.jp/an/anime_series/399
ANS000025200,劇場,たぬきさん大当たり,タヌキサンオオアタリ,1967/03/19,-,東映,-,http://mediaarts-db.jp/an/anime_series/397
ANS000025400,劇場,ひょっこりひょうたん島,ヒョッコリヒョウタンジマ,1967/07/21,-,東映,原作、脚本／井上ひさし、山元護久（NHKTV番組“ひょっこりひょうたん島”より）,http://mediaarts-db.jp/an/anime_series/401
ANS000025500,TV,ゲゲゲの鬼太郎,ゲゲゲノキタロウ,1968/01/03,1969/03/30,フジテレビ,原作/水木しげる （少年マガジン連載）,http://mediaarts-db.jp/an/anime_series/403
ANS000025700,TV,わんぱく探偵団,ワンパクタンテイダン,1968/02/01,1968/09/26,フジテレビ,原作/江戸川乱歩 雑誌「ぼくら」連載,http://mediaarts-db.jp/an/anime_series/405
ANS000025900,劇場,アンデルセン物語,アンデルセンモノガタリ,1968/03/19,-,東映,ハンス・クリスチャン・アンデルセン,http://mediaarts-db.jp/an/anime_series/409
ANS000025800,TV,巨人の星,キョジンノホシ,1968/03/30,1971/09/18,よみうりテレビ,原作/梶原一騎、川崎のぼる 連載/週刊少年マガジン,http://mediaarts-db.jp/an/anime_series/407
ANS000026000,TV,アニマル1,アニマルワン,1968/04/01,1968/09/30,フジテレビ,原作/川崎のぼる 少年サンデー連載,http://mediaarts-db.jp/an/anime_series/411
ANS000026200,TV,あかねちゃん,アカネチャン,1968/04/06,1968/09/29,フジテレビ,原作/ちばてつや 「みそっかす」より,http://mediaarts-db.jp/an/anime_series/415
ANS000026100,TV,サイボーグ009,サイボーグゼロゼロナイン,1968/04/05,1968/09/27,NET,原作/石森章太郎,http://mediaarts-db.jp/an/anime_series/413
ANS000026300,TV,ファイトだ!!ピュー太,ファイトダ!!ピュータ,1968/04/06,1968/09/28,毎日放送,原案/ムロタニ・ツネ象 連載/少年サンデー、小学一・二・三・四年生,http://mediaarts-db.jp/an/anime_series/417
ANS000026400,TV,怪物くん,カイブツクン,1968/04/21,1969/03/23,TBS,原作/藤子不二雄 少年キング、少年画報連載中,http://mediaarts-db.jp/an/anime_series/419
ANS000026600,TV,サスケ,サスケ,1968/09/03,1969/03/25,TBS,原作/白土 三平 （赤目プロ）,http://mediaarts-db.jp/an/anime_series/423
ANS000026500,劇場,太陽の王子 ホルスの大冒険,タイヨウノオウジ ホルスノダイボウケン,1968/07/21,-,東映,NULL,http://mediaarts-db.jp/an/anime_series/421
ANS000026700,TV,夕やけ番長,ユウヤケバンチョウ,1968/09/30,1969/03/29,日本テレビ,原案/梶原一騎 画/荘司としお,http://mediaarts-db.jp/an/anime_series/425
ANS000026900,TV,佐武と市捕物控,サブトイチトリモノヒカエ,1968/10/03,1969/09/24,NET,原作/石森章太郎 小学館ビックコミック連載,http://mediaarts-db.jp/an/anime_series/429
ANS000026800,TV,ドカチン,ドカチン,1968/10/02,1969/03/26,フジテレビ,原作/吉田竜夫,http://mediaarts-db.jp/an/anime_series/427
ANS000027200,TV,ジョニーサイファー,ジョニーサイファー,1968/10/21,1969/03/29,CX,-,http://mediaarts-db.jp/an/anime_series/435
ANS000027100,TV,妖怪人間ベム,ヨウカイニンゲンベム,1968/10/07,1969/03/31,フジテレビ,原作/第一動画文芸部・雑誌連載/ぼくら,http://mediaarts-db.jp/an/anime_series/433
ANS000027000,TV,バンパイヤ,バンパイヤ,1968/10/03,1969/03/29,フジテレビ,原作/手塚治虫,http://mediaarts-db.jp/an/anime_series/431
ANS000027300,TV,すばらしい世界旅行 ニューヨークの旅 “コンピュートピア 西暦2000年の物語”,スバラシイセカイリョコウ　ニューヨークノタビ　コンピュートピアセイレキニセンネンノモノガタリ,1968/01/07,1968/01/14,日本テレビ,-,http://mediaarts-db.jp/an/anime_series/437
ANS000027500,劇場,ゲゲゲの鬼太郎,ゲゲゲノキタロウ,1968/07/21,-,東映,・原作／水木しげる,http://mediaarts-db.jp/an/anime_series/439
ANS000027800,劇場,人のくらしの百万年,ヒトノクラシノヒャクマンネン,1968/12/19,-,東映,NULL,http://mediaarts-db.jp/an/anime_series/445
ANS000027600,劇場,海ひこ山ひこ,ウミヒコヤマヒコ,1968/08/01,-,東宝,-,http://mediaarts-db.jp/an/anime_series/441
ANS000027700,劇場,殺生石（九尾の狐と飛丸）,セッショウセキ　キュウビノキツネトトビマル,1968/10/19,-,大映,原作／岡本綺堂（玉藻の前より）,http://mediaarts-db.jp/an/anime_series/443
ANS000028000,TV,ひみつのアッコちゃん,ヒミツノアッコチャン,1969/01/06,1970/10/26,NET,原作]/赤塚不二夫 （りぼん連載）,http://mediaarts-db.jp/an/anime_series/449
ANS000027900,TV,ワンダー君の初夢宇宙旅行,ワンダークンノハツユメウチュウリョコウ,1969/01/02,-,NHK,原案/手塚治虫,http://mediaarts-db.jp/an/anime_series/447
ANS000028100,TV,海底少年マリン,カイテイショウネンマリン,1969/01/13,1969/09/22,フジテレビ,原作/「ドルフィン王子」より,http://mediaarts-db.jp/an/anime_series/451
ANS000028300,TV,そばかすプッチー,ソバカスプッチー,1969/03/31,1969/10/04,フジテレビ,青木たかし,http://mediaarts-db.jp/an/anime_series/453
ANS000028400,劇場,長靴をはいた猫,ナガグツヲハイタネコ,1969/03/18,-,東映系,シャルル・ペロー,http://mediaarts-db.jp/an/anime_series/455
ANS000028600,TV,紅三四郎,クレナイサンシロウ,1969/04/02,1969/09/24,フジテレビ,原作/吉田竜夫,http://mediaarts-db.jp/an/anime_series/459
ANS000028500,TV,ウメ星デンカ,ウメボシデンカ,1969/04/01,1969/09/23,TBS,原作/藤子不二雄 少年サンデー、小学館学習雑誌連載中,http://mediaarts-db.jp/an/anime_series/457
ANS000028800,TV,どろろ,ドロロ,1969/04/06,1969/09/28,フジテレビ,原作/手塚治虫,http://mediaarts-db.jp/an/anime_series/463
ANS000028900,TV,忍風カムイ外伝,ニンプウカムイガイデン,1969/04/06,1969/09/28,フジテレビ,原作/白土 三平 （赤目プロ）,http://mediaarts-db.jp/an/anime_series/465
ANS000028700,TV,もーれつア太郎,モーレツアタロウ,1969/04/04,1970/12/25,NET,原作/赤塚不二夫 （少年サンデー連載）,http://mediaarts-db.jp/an/anime_series/461
ANS000029300,劇場,千夜一夜物語,センヤイチヤモノガタリ,1969/06/14,-,日本ヘラルド映画,原作/河出書房刊“千夜一夜物語”より,http://mediaarts-db.jp/an/anime_series/469
ANS000029100,TV,六法やぶれクン,ロッポウヤブレクン,1969/04/28,1969/09/26,名古屋テレビ,原作/佐賀潜,http://mediaarts-db.jp/an/anime_series/467
ANS000029400,劇場,空飛ぶゆうれい船,ソラトブユウレイセン,1969/07/20,-,東映系,原作/石森章太郎（コダマプレス刊“幽霊船”より）,http://mediaarts-db.jp/an/anime_series/471
ANS000029500,TV,男一匹ガキ大将,オトコイッピキガキダイショウ,1969/09/29,1970/03/28,日本テレビ,原作/本宮ひろ志 週刊少年ジャンプ連載,http://mediaarts-db.jp/an/anime_series/473
ANS000029600,TV,ピンチとパンチ,ピンチトパンチ,1969/09/29,1970/03/28,フジテレビ,青木たかし,http://mediaarts-db.jp/an/anime_series/475
ANS000029700,TV,タイガーマスク,タイガーマスク,1969/10/02,1971/09/30,よみうりテレビ,原作/梶原一騎、辻なおき,http://mediaarts-db.jp/an/anime_series/477
ANS000029800,TV,サザエさん,サザエサン,1969/10/05,8888/88,フジテレビ系,[原作] 長谷川町子 朝日新聞連載（中期まで）,http://mediaarts-db.jp/an/anime_series/479
ANS000029900,TV,ハクション大魔王,ハクションダイマオウ,1969/10/05,1970/09/27,フジテレビ,原作/吉田竜夫,http://mediaarts-db.jp/an/anime_series/481
ANS000030000,TV,ムーミン,ムーミン,1969/10/05,1970/12/27,フジテレビ,原作/トーべ・ヤンソン 講談社刊,http://mediaarts-db.jp/an/anime_series/483
ANS000030100,TV,アタックNo.1,アタックナンバーワン,1969/12/07,1971/11/28,フジテレビ,原作/浦野千賀子 〈集英社マーガレットコミックスより〉,http://mediaarts-db.jp/an/anime_series/485
ANS000030300,TV,前田武彦の天下のライバル 巨人の星対鉄腕アトム,キョジンノホシタイテツワンアトム,1969/09/06,-,日本テレビ,手塚治虫、梶原一騎、川崎のぼる,http://mediaarts-db.jp/an/anime_series/489
ANS000030200,TV,20世紀アワー 「海底都市ができるまで」（31年後の日本）,ニジュッセイキアワーカイテイトシノデキルマデ,1969/02/02,-,日本テレビ,手塚治虫,http://mediaarts-db.jp/an/anime_series/487
ANS000030400,劇場,ひとりぼっち,ヒトリボッチ,1969/03/18,-,東映系,NULL,http://mediaarts-db.jp/an/anime_series/491
ANS000030600,劇場,〔○秘〕劇画・浮世絵千一夜,マルヒゲキガ　ウキヨエセンヤイチヤ,1969/10/29,-,東映系,-,http://mediaarts-db.jp/an/anime_series/493
ANS000030700,劇場,巨人の星 行け行け飛雄馬,キョジンノホシ　イケイケヒュウマ,1969/12/20,-,東宝系,梶原一騎・川崎のぼる,http://mediaarts-db.jp/an/anime_series/495
ANS000030900,TV,いたずら天使チッポちゃん,イタズラテンシチッポチャン,1970/03/30,1970/12/31,フジテレビ,NULL,http://mediaarts-db.jp/an/anime_series/497
ANS000031000,TV,動物村ものがたり,ドウブツムラモノガタリ,1970/03/30,1970/07/21,NET,原作/横山隆一（おとぎプロ）,http://mediaarts-db.jp/an/anime_series/499
ANS000031200,劇場,やさしいライオン,ヤサシイライオン,1970/03/21,-,東宝系,原作、演出（監督と同義）/やなせたかし フレーベル館版,http://mediaarts-db.jp/an/anime_series/503
ANS000031100,劇場,ちびっ子レミと名犬カピ,チビッコレミトメイケンカピ,1970/03/17,-,東映系,エクトル・マロー原作 “家なき子”より,http://mediaarts-db.jp/an/anime_series/501
ANS000031300,TV,あしたのジョー,アシタノジョー,1970/04/01,1971/09/29,フジテレビ,原作/高森朝雄、ちばてつや、少年マガジン連載中,http://mediaarts-db.jp/an/anime_series/505
ANS000031400,TV,サラリーマンミニミニ作戦,サラリーマンミニミニサクセン,1970/04/01,1970/09/30,フジテレビ,-,http://mediaarts-db.jp/an/anime_series/507
ANS000031500,TV,ばくはつ五郎,バクハツゴロウ,1970/04/03,1970/09/25,TBS,原画/辻なおき,http://mediaarts-db.jp/an/anime_series/509
ANS000031600,TV,祭りだ!ワッショイ おたのしみアニメ劇場,オタノシミアニメゲキジョウ,1970/04/05,1970/09/27,フジテレビ,スタジオ・ゼロ（鈴木　伸一・石森章太郎（石ノ森章太郎・藤子不二雄・赤塚不二夫ほか）,http://mediaarts-db.jp/an/anime_series/511
ANS000031800,TV,昆虫物語みなしごハッチ,コンチュウモノガタリミナシゴハッチ,1970/04/07,1971/12/28,フジテレビ,原作/吉田竜夫,http://mediaarts-db.jp/an/anime_series/513
ANS000031900,TV,赤き血のイレブン,アカキチノイレブン,1970/04/13,1971/04/05,日本テレビ,原作/梶原一騎、園田光慶,http://mediaarts-db.jp/an/anime_series/515
ANS000032000,TV,ノンフィクションアワー 日本誕生,ノンフィクションアワーニッポンタンジョウ,1970/06/10,1970/10/24,日本テレビ,NULL,http://mediaarts-db.jp/an/anime_series/517
ANS000032300,劇場,海底3万マイル,カイテイサンマンマイル,1970/07/19,-,東映系,石森章太郎,http://mediaarts-db.jp/an/anime_series/519
ANS000032400,TV,キリンものしり大学 マンガ人物史,キリンモノシリダイガクマンガジンブツシ,1970/08/03,1971/09/30,毎日放送,-,http://mediaarts-db.jp/an/anime_series/521
ANS000032600,TV,男どアホウ! 甲子園,オトコドアホウコウシエン,1970/09/28,1971/03/27,日本テレビ,まんが/水島新司 原作/佐々木守 週刊少年サンデー連載,http://mediaarts-db.jp/an/anime_series/523
ANS000032700,劇場,クレオパトラ,クレオパトラ（CLEOPATRA）,1970/09/11,-,日本ヘラルド映画,原案／手塚治虫,http://mediaarts-db.jp/an/anime_series/525
ANS000032900,TV,いじわるばあさん,イジワルバアサン,1970/10/03,1971/08/18,よみうりテレビ,原作/長谷川町子,http://mediaarts-db.jp/an/anime_series/529
ANS000032800,TV,キックの鬼,キックノオニ,1970/10/02,1971/03/26,TBS,原作/梶原一騎、中城けんたろう,http://mediaarts-db.jp/an/anime_series/527
ANS000033000,TV,いなかっぺ大将,イナカッペタイショウ,1970/10/04,1972/09/24,フジテレビ,原作/川崎のぼる 小学館の学年別・学習雑誌連載,http://mediaarts-db.jp/an/anime_series/531
ANS000033100,TV,のらくろ,ノラクロクン,1970/10/05,1971/03/29,フジテレビ,原作/田河水泡 講談社版,http://mediaarts-db.jp/an/anime_series/533
ANS000033200,TV,われらサラリーマン党,ワレラサラリーマントウ,1970/10/07,1971/03/31,フジテレビ,原作/鈴木義司,http://mediaarts-db.jp/an/anime_series/535
ANS000033500,TVスペシャル,東京の山賊,トウキョウノサンゾク,1970/04/18,-,NHK教育,・作／永六輔,http://mediaarts-db.jp/an/anime_series/539
